Sample_name,Conc,Conc_RSD,Element,Site ,Species,Tissue_type,Weight,Solid_conc,Measurement_type
s2 10-12,0.245770852,2.876462033,Pb207,2,NA,NA,0.2522,3.54787152,S
s2 4-6,0.164552403,3.55110454,Pb207,2,NA,NA,0.2513,0.89696166,S
s3 2-4,0.23100252,5.320205232,Pb207,3,NA,NA,0.2519,2.64078759,S
s3 4-6,0.13327117,12.45565288,Pb207,3,NA,NA,0.2512,2.62651629,S
s3 0-2,0.07965061,7.317661918,Pb207,3,NA,NA,0.2513,1.4698419,S
p19,3.696816178,1.10132773,Pb207,3,PO,Leaves,0.1006,252.36079,P
p7,7.247134474,1.012750736,Pb207,2,MY,Leaves,0.1004,531.344562,P
p15,7.082879791,1.183295011,Pb207,3,MY,Leaves,0.1009,527.082853,P
p21,11.2256309,1.722460523,Pb207,NA,NA,NA,NA,NA,P
p9,6.396676493,1.999301703,Pb207,3,CH,Stems,0.1008,203.540236,P
p12,9.697642941,1.133480521,Pb207,3,CH,Leaves,0.1006,421.861276,P
p24,3.372046282,1.342479697,Pb207,NA,NA,NA,NA,NA,P
p13,2.140738011,0.330715414,Pb207,3,MY,Stems,0.1007,135.68838,P
p18,1.989597011,2.369746838,Pb207,3,PO,Stems,0.1007,69.2727957,P
p10,4.685880603,1.978491086,Pb207,3,CH,Stems,0.1001,175.473851,P
p11,7.894837254,0.310716924,Pb207,3,CH,Leaves,0.1005,343.312078,P
p20,2.323494087,2.751381863,Pb207,3,PO,Leaves,0.1006,186.854657,P
p4,12.5880022,1.369769684,Pb207,1,CH,Leaves,0.1001,184.488681,P
p16,6.429590043,1.013662722,Pb207,3,MY,Leaves,0.1005,476.476655,P
p23,1.513364896,2.184072533,Pb207,NA,NA,NA,NA,NA,P
p3,2.590441933,1.466548695,Pb207,1,CH,Leaves,0.1001,182.042638,P
p2,3.065190301,1.67434901,Pb207,1,CH,Stems,0.1007,177.370054,P
p17,3.482683706,1.169781204,Pb207,3,PO,Stems,0.1002,65.8310208,P
p5,2.163715893,1.920265472,Pb207,2,MY,Stems,0.1003,85.3340527,P
p1,2.475084678,0.054268242,Pb207,1,CH,Stems,0.1009,112.459594,P
p22,8.430588989,1.78783305,Pb207,NA,NA,NA,NA,NA,P
p8,6.65074157,0.427201394,Pb207,2,MY,Leaves,0.1004,469.805656,P
